text,platform,campaign,date
I love this app,Instagram,Launch Campaign,2026-04-20
The delivery was very late,Twitter/X,Festive Offer,2026-04-21
Payment failed again,YouTube,App Update,2026-04-22
Customer support was helpful,LinkedIn,Brand Awareness,2026-04-23
The app keeps crashing after login,Instagram,App Update,2026-04-24
Amazing discount campaign loved the offer,Facebook,Festive Offer,2026-04-25
The product quality is okay,YouTube,Launch Campaign,2026-04-26
Refund process is too slow,Twitter/X,Brand Awareness,2026-04-27
Great product and very fast delivery,Instagram,Launch Campaign,2026-04-28
Price is too expensive compared to others,Facebook,Festive Offer,2026-04-29
Support team did not reply to my complaint,Twitter/X,App Update,2026-04-30
The new update is excellent,LinkedIn,App Update,2026-05-01
Food quality was poor and delivery was delayed,Instagram,Festive Offer,2026-05-02
The service is average,YouTube,Brand Awareness,2026-05-03
I am happy with the overall experience,Facebook,Launch Campaign,2026-05-04
Bad packaging and damaged product received,Twitter/X,Launch Campaign,2026-05-05
The app UI is beautiful and easy to use,LinkedIn,App Update,2026-05-06
Offer was good but delivery was late,Instagram,Festive Offer,2026-05-07
Normal service nothing very good or bad,YouTube,Brand Awareness,2026-05-08
I will recommend this platform to my friends,Facebook,Launch Campaign,2026-05-09
Login screen has a bug and loading issue,Instagram,App Update,2026-05-10
The payment transaction was smooth and quick,LinkedIn,Launch Campaign,2026-05-11
Delivery rider was polite and order came fast,Facebook,Festive Offer,2026-05-12
The campaign ad was confusing,YouTube,Brand Awareness,2026-05-13
Worst customer experience ever,Twitter/X,App Update,2026-05-14
The discount offer was useful,Instagram,Festive Offer,2026-05-15
Product taste was amazing and fresh,Facebook,Launch Campaign,2026-05-16
The app update is acceptable,LinkedIn,App Update,2026-05-17
Money was deducted but refund is pending,Twitter/X,Festive Offer,2026-05-18
Customer agent solved my issue quickly,YouTube,Brand Awareness,2026-05-19
